Names,links,Image,Description
US,https://timesofindia.indiatimes.com/us,,"Chhaava’s excellence lies in its terrific climax. You just wish the film relied and trusted its solid story more than Rahman's music, which largely feels out of place."
IN,https://timesofindia.indiatimes.com/?loc=in,,"Dhoom Dhaam is a fast-paced rollercoaster of action, comedy, and mystery, powered by Yami Gautam Dhar and Pratik Gandhi’s electric chemistry."
,https://timesofindia.indiatimes.com,https://static.toiimg.com/photo/79638690.cms,"Despite its convoluted plot and occasional pacing issues, Brave New World delivers thrilling aerial battles and hand-to-hand combats, strong performances, and enough spectacle to entertain superhero"
City,https://timesofindia.indiatimes.com/city,,10 quotes to inspire and motivate you
mumbai,https://timesofindia.indiatimes.com/city/mumbai,,10 health benefits of chewing cloves daily
delhi,https://timesofindia.indiatimes.com/city/delhi,,10 things parents should never do in the morning before sending kids to school
bengaluru,https://timesofindia.indiatimes.com/city/bangalore,,10 powerful ways to detox and reset your mind
Hyderabad,https://timesofindia.indiatimes.com/city/hyderabad,,10 birds that eat meat and other animals
kolkata,https://timesofindia.indiatimes.com/city/kolkata,,10 exotic animals to spot inside Kashmir's Dachigam National Park
chennai,https://timesofindia.indiatimes.com/city/chennai,,How to make South Indian Paneer Butter Masala Dosa for breakfast
City,https://timesofindia.indiatimes.com/city,,​10 ancient animals that still exist
agra,https://timesofindia.indiatimes.com/city/agra,,Delhi CM Rekha Gupta to attend Yamuna aarti at Vasudev ghat shortly
agartala,https://timesofindia.indiatimes.com/city/agartala,,"After Trump's Indian polls expose, BJP shares old clips of PM blaming Cong"
ahmedabad,https://timesofindia.indiatimes.com/city/ahmedabad,,Why India doesn't need ultra-pricey F-35s & what it should get instead
ajmer,https://timesofindia.indiatimes.com/city/ajmer,,'Not safe in our country': Deportees from US cry for help from Panama hotel
amaravati,https://timesofindia.indiatimes.com/city/amaravati,,"Everest snow cover has retreated by 490ft in 1.5 months, says study"
amritsar,https://timesofindia.indiatimes.com/city/amritsar,,"A decade ago, he was dragged out — now, Vijender Gupta will run the show as Delhi House speaker"
bareilly,https://timesofindia.indiatimes.com/city/bareilly,,"Pride of India, Asia’s first vertical-lift sea bridge set to open in TN"
bhubaneswar,https://timesofindia.indiatimes.com/city/bhubaneswar,,IND vs BAN Live: Shami breaks Towhid -Jaker stand
bhopal,https://timesofindia.indiatimes.com/city/bhopal,,"Tesla likely to import cars from Germany, skip China"
chandigarh,https://timesofindia.indiatimes.com/city/chandigarh,,Watch: How Rohit Sharma messed up Axar's hat-trick chance
chhatrapati sambhajinagar,https://timesofindia.indiatimes.com/city/aurangabad,,"'Dragged out of lift, assaulted': Woman attacks minor over pet dog objection"
coimbatore,https://timesofindia.indiatimes.com/city/coimbatore,,Gurgaon lawyer held for Noida boy’s death in celebratory firing
cuttack,https://timesofindia.indiatimes.com/city/cuttack,,Police receive email threat to bomb Maharashtra deputy CM Shinde’s car
dehradun,https://timesofindia.indiatimes.com/city/dehradun,,'Exercise caution': Centre's advisory to OTT platforms amid 'India's Got Latent' row
erode,https://timesofindia.indiatimes.com/city/erode,,California judge shoots wife during argument while watching 'Breaking Bad'
faridabad,https://timesofindia.indiatimes.com/city/faridabad,,Shopping: Discounts Up to 60% Off on Gadgets & Electronics
ghaziabad,https://timesofindia.indiatimes.com/city/ghaziabad,,NASA leadership changes spark uncertainty over the future of the US Moon program
goa,https://timesofindia.indiatimes.com/city/goa,,Measles outbreak in Texas and New Mexico intensifies: Symptoms and severe complications to watch out for
gurgaon,https://timesofindia.indiatimes.com/city/gurgaon,,"Love & Dating Horoscope for February 20, 2025"
guwahati,https://timesofindia.indiatimes.com/city/guwahati,,"Horoscope Tomorrow, February 21, 2025: Your zodiac insights await"
hubballi,https://timesofindia.indiatimes.com/city/hubli,,Australian children bypass social media age limit restriction as landmark ban nears: Report
imphal,https://timesofindia.indiatimes.com/city/imphal,,"Pokemon GO Zekrom raid guide: Best counters, strengths, weakness, moveset, and more"
indore,https://timesofindia.indiatimes.com/city/indore,,"Daily Muhurat Update (February 20, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for New York City"
itanagar,https://timesofindia.indiatimes.com/city/itanagar,,Trump Doubles Down On 'False' Condom Claim; '$100 Million Designated By US To Buy...'
jaipur,https://timesofindia.indiatimes.com/city/jaipur,,"Argentina Court Slams Liam Payne's Family, Acquits Roger Nores On 'These' Grounds | WATCH"
jammu,https://timesofindia.indiatimes.com/city/jammu,,Liam Payne Case: Argentina Court Acquits Roger Nores & 2 Hotel Employees Of All Charges
jamshedpur,https://timesofindia.indiatimes.com/city/jamshedpur,,Woman Arrested For Posting Israel PM's Fake Obituary Online | Full Detail
jodhpur,https://timesofindia.indiatimes.com/city/jodhpur,,"Meghan Markle's New Show Fails To Impress, Little Preview Before Release Gets Brutal Review"
kanpur,https://timesofindia.indiatimes.com/city/kanpur,,"Daily Muhurat Update (February 20, 2025): Tithi, Festivals, Auspicious Yogas, Rahu Kaal for Los Angeles"
kochi,https://timesofindia.indiatimes.com/city/kochi,,"Horoscope Today: Astrological Predictions for February 20, 2025"
kohima,https://timesofindia.indiatimes.com/city/kohima,,"If 300-ft asteroid hits earth in 2032, Mumbai and Kolkata at high risk"
kolhapur,https://timesofindia.indiatimes.com/city/kolhapur,,"Pride of India, Asia’s first vertical-lift sea bridge set to open in TN"
kozhikode,https://timesofindia.indiatimes.com/city/kozhikode,,Why India doesn't need ultra-pricey F-35s & what it should get instead
ludhiana,https://timesofindia.indiatimes.com/city/ludhiana,,"Bhumi recalls falling on stage in UP in front of 30,000 people"
lucknow,https://timesofindia.indiatimes.com/city/lucknow,,Ministry of I&B issues an advisory to OTT platforms
madurai,https://timesofindia.indiatimes.com/city/madurai,,Arjun REACTS to people judging him for surname-looks
mangaluru,https://timesofindia.indiatimes.com/city/mangalore,,Bollywood Actors Who Love Painting
meerut,https://timesofindia.indiatimes.com/city/meerut,,STI4: When Vineeta was called out for wearing jeans and tight top
mumbai region,https://timesofindia.indiatimes.com/city/mumbai,,Dia Mirza's ethnic wear
mysuru,https://timesofindia.indiatimes.com/city/mysore,,Sonakshi-Zaheer's adorable pics
nagpur,https://timesofindia.indiatimes.com/city/nagpur,,Amyra Dastur's golden glamour
nashik,https://timesofindia.indiatimes.com/city/nashik,,Tamannaah's animal print outfit
navi mumbai,https://timesofindia.indiatimes.com/city/navi-mumbai,,Madhuri's white Patola saree
noida,https://timesofindia.indiatimes.com/city/noida,,Sanya redefines power dressing
patna,https://timesofindia.indiatimes.com/city/patna,,B-Town divas welcome Bappa in style
prayagraj,https://timesofindia.indiatimes.com/city/allahabad,,Urmila Matondkar the timeless beauty
puducherry,https://timesofindia.indiatimes.com/city/puducherry,,Ananya Panday's style file
pune,https://timesofindia.indiatimes.com/city/pune,,Apoorva Mukhija Unfollows Everyone; Is the 'IGL' Controversy Tearing Her Inner Circle Apart?
raipur,https://timesofindia.indiatimes.com/city/raipur,,Apoorva Mukhija Unfollows Everyone; Is the 'IGL' Controversy Tearing Her Inner Circle Apart?
rajkot,https://timesofindia.indiatimes.com/city/rajkot,,Drake’s Drone Stunt Backfires! Fans Call Out ‘Fake’ Footage & Over-the-Top Acting
ranchi,https://timesofindia.indiatimes.com/city/ranchi,,Exclusive: Saba Azad & Saqib Saleem Address Importance Of Self-Censorship & Side Effects Of Social Media
thane,https://timesofindia.indiatimes.com/city/thane,,Blake Lively Accuses Justin Baldoni of On-Set Misconduct – Shocking Allegations Surface!
salem,https://timesofindia.indiatimes.com/city/salem,,"Supreme Court Hits Ranveer For ‘Perverted’ Remarks; Passport Seized, Travel Blocked - Calls Out His ‘Dirty Mind’"
shillong,https://timesofindia.indiatimes.com/city/shillong,,Heartbreaking Goodbye: Kim Sae-Ron’s Emotional Funeral Leaves K-Stars in Tears
shimla,https://timesofindia.indiatimes.com/city/shimla,,"Surrender looted, illegally-held weapons within 7 days or face strict action: Manipur Governor's ultimatum"
srinagar,https://timesofindia.indiatimes.com/city/srinagar,,'Arvind Kejriwal will have to spend most of his time in jail': BJP's Delhi minister-pick Manjinder Singh Sirsa
surat,https://timesofindia.indiatimes.com/city/surat,,'Guess they were trying to get somebody else elected: Donald Trump on $21m fund for India
trichy,https://timesofindia.indiatimes.com/city/trichy,,'Disturbing': SC on Lokpal order which entertained complaints against sitting HC judges
